Date,Open,High,Low,Close,Volume
2011-11-28,119.53,120.18,118.82,119.7,42828544
2011-11-29,120.09,121.0,119.61,120.08,41177514
2011-11-30,123.5,125.22,123.22,125.11,61994264
2011-12-01,124.85,125.64,124.43,124.98,33494814
2011-12-02,126.14,126.5,124.78,124.86,47029127
2011-12-05,126.8,127.18,125.45,126.21,48955606
2011-12-06,126.17,127.11,125.76,126.26,27218979
2011-12-07,125.84,127.26,124.97,126.75,47462667
2011-12-08,125.88,126.18,123.65,123.98,51039070
2011-12-09,124.52,126.37,124.41,126.03,37323724
2011-12-12,124.91,124.97,123.18,124.24,40152712
2011-12-13,124.9,125.57,122.45,123.11,45766318
2011-12-14,122.59,123.03,121.47,121.71,45840916
2011-12-15,123.12,123.19,121.99,122.15,34056875
2011-12-16,122.21,122.94,121.3,121.57,43484888
2011-12-19,122.06,122.32,120.03,120.32,39577182
2011-12-20,122.23,124.13,122.19,123.88,35741385
2011-12-21,123.94,124.36,122.75,124.17,33792020
2011-12-22,124.64,125.39,124.36,125.33,22327643
2011-12-23,,,,126.39,0
2011-12-27,126.15,126.82,126.06,126.49,19008321
2011-12-28,126.53,126.53,124.73,124.92,30203033
2011-12-29,125.21,126.25,125.18,126.1,25251416
2011-12-30,,,,125.5,0
2012-01-03,127.75,128.38,127.44,127.49,38379801
2012-01-04,127.18,127.81,126.72,127.63,23665645
2012-01-05,127.01,128.23,126.43,128.1,36485767
2012-01-06,128.22,128.22,127.29,127.82,29421959
2012-01-09,128.04,128.18,127.41,127.99,21150934
2012-01-10,129.37,129.65,128.95,129.13,22465952
2012-01-11,128.75,129.37,128.52,129.25,22722523
2012-01-12,129.54,129.7,128.54,129.51,24534387
2012-01-13,,,,129.01,0
2012-01-17,130.1,130.32,129.06,129.31,27054142
2012-01-18,129.35,130.84,129.08,130.8,33849548
2012-01-19,131.24,131.57,130.8,131.48,27306784
2012-01-20,131.23,131.95,130.92,131.95,33001013
2012-01-23,131.5,132.25,130.98,131.58,26266200
2012-01-24,130.77,131.5,130.6,131.46,21699820
